* --------------------------------------------------------------------------- *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Data Envelop Analysis (DEA): *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Education *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Input- Output orientation, Single input and single output *",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Written by Santiago Herrera and Abdoulaye Ouedraogo for the paper titled             *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Efficiency of Public Spending in Developing Countries  an Efficiency Frontier Approach                              *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* --------------------------------------------------------------------------- *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Single Input-Single Output: Excluding Developed Countries,,,,,,,,,,,,,,Single Input-Single Output: Including Developed Countries,,,,,,,,,,,,,,Single Input-Single Output: Excluding Developed Countries,,,,,,,,,,,,,,Single Input-Single Output: Including Developed Countries,,,,,,,,,,,,,,Single Input-Single Output: Excluding Developed Countries,,,,,,,,,,,,,,Single Input-Single Output: Including Developed Countries,,,,,,,,,,,,,,Single Input-Single Output: Excluding Developed Countries,,,,,,,,,,,,,,Single Input-Single Output: Including Developed Countries,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excluding Developed Countries,,,,,,Excluding Developed Countries,,,,,,,,Including Developed Countries,,,,,,Including Developed Countries,,,,,,,,Excluding Developed Countries,,,,,,Excluding Developed Countries,,,,,,,,Including Developed Countries,,,,,,Including Developed Countries,,,,,,,,Excluding Developed Countries,,,,,,Excluding Developed Countries,,,,,,,,Including Developed Countries,,,,,,Including Developed Countries,,,,,,,,Excluding Developed Countries,,,,,,Excluding Developed Countries,,,,,,,,Including Developed Countries,,,,,,Including Developed Countries,,,,
"School enrollment, secondary (% net) ",,,,,,"School enrollment, primary (% net) ",,,,,,,,"School enrollment, secondary (% net) ",,,,,,"School enrollment, primary (% net) ",,,,,,,,"School enrollment, secondary (% gross) ",,,,,,"School enrollment, primary (% gross) ",,,,,,,,"School enrollment, secondary (% gross) ",,,,,,"School enrollment, primary (% gross) ",,,,,,,,"Literacy rate, youth total (% of people ages 15-24) ",,,,,,"Average years of school, ages 15+",,,,,,,,"Literacy rate, youth total (% of people ages 15-24) ",,,,,,"Average years of school, ages 15+",,,,,,,,,"First level complete, ages 15+",,,,,,"second level complete, ages 15+",,,,,,,,"First level complete, ages 15+",,,,,,"second level complete, ages 15+",,,
,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,
dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,,Input ,,output,,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA
AGO,0.051,0.051,0.262,0.256,,AGO,0.066,0.066,0.819,0.819,,,,dmu,FDH,DEA,FDH,DEA,,AGO,0.610,0.610,0.819,0.819,,,,AGO,0.065,0.065,0.115,0.115,,AGO,0.924,0.495,0.975,0.846,,,,AGO,0.620,0.620,0.115,0.115,,AGO,0.985,0.715,0.991,0.840,,,,AGO,0.066,0.066,0.775,0.775,,ALB,0.444,0.381,0.771,0.771,,,,AGO,0.080,0.080,0.775,0.775,,ALB,0.653,0.653,0.767,0.754,,,,ALB,0.360,0.360,0.204,0.138,,ALB,0.444,0.418,0.678,0.678,,,,ALB,0.777,0.677,0.204,0.123,,ALB,0.653,0.653,0.678,0.678
ALB,0.081,0.073,0.876,0.859,,ALB,0.361,0.281,0.937,0.937,,,,AGO,0.608,0.608,0.204,0.204,,ALB,0.774,0.731,0.937,0.937,,,,ALB,0.814,0.100,0.852,0.852,,ALB,0.361,0.226,0.926,0.784,,,,ALB,0.658,0.658,0.852,0.852,,ALB,0.645,0.645,0.926,0.776,,,,ALB,0.074,0.074,0.991,0.991,,ARG,0.224,0.224,0.739,0.739,,,,ALB,0.092,0.092,0.991,0.991,,ARG,0.574,0.574,0.722,0.722,,,,ARG,0.670,0.409,0.575,0.575,,ARG,0.276,0.233,0.480,0.480,,,,ARG,0.881,0.779,0.832,0.579,,ARG,0.574,0.574,0.480,0.480
ARG,0.048,0.048,0.959,0.952,,ARG,0.383,0.366,0.992,0.992,,,,ALB,0.647,0.647,0.722,0.697,,ARG,0.752,0.740,0.992,0.992,,,,ARG,0.495,0.088,0.860,0.860,,ARG,0.619,0.269,0.778,0.778,,,,ARG,0.582,0.582,0.860,0.860,,ARG,0.910,0.617,0.778,0.778,,,,ARG,0.142,0.052,0.994,0.993,,ARM,0.456,0.436,0.819,0.819,,,,ARG,0.151,0.064,0.994,0.993,,ARM,0.648,0.648,0.816,0.802,,,,ARM,0.370,0.370,0.120,0.083,,ARM,0.656,0.493,0.830,0.830,,,,ARM,0.772,0.658,0.097,0.072,,ARM,0.648,0.648,0.830,0.830
ARM,0.085,0.077,0.880,0.863,,ARM,0.655,0.390,0.963,0.963,,,,ARG,0.598,0.577,0.769,0.769,,ARM,0.780,0.762,0.963,0.963,,,,ARM,0.841,0.332,0.892,0.892,,ARM,0.377,0.102,0.883,0.757,,,,ARM,0.653,0.653,0.892,0.892,,ARM,0.642,0.642,0.883,0.738,,,,ARM,0.247,0.223,0.999,0.999,,BDI,0.245,0.245,0.296,0.296,,,,ARM,0.253,0.230,0.999,0.999,,AUS,0.785,0.712,0.924,0.924,,,,BDI,0.734,0.413,0.543,0.543,,BDI,0.245,0.245,0.082,0.082,,,,AUS,0.750,0.649,0.144,0.103,,AUS,0.630,0.630,0.593,0.593
ATG,1.000,1.000,1.000,1.000,,ATG,0.924,0.920,0.997,0.994,,,,ARM,0.643,0.643,0.725,0.698,,ATG,0.945,0.945,0.996,0.966,,,,ATG,1.000,1.000,1.000,1.000,,ATG,1.000,0.948,1.000,0.998,,,,ATG,0.946,0.946,0.904,0.897,,ATG,0.944,0.944,0.913,0.890,,,,AZE,1.000,1.000,1.000,1.000,,BEN,0.254,0.254,0.381,0.381,,,,AZE,1.000,1.000,1.000,1.000,,AUT,0.542,0.542,0.751,0.751,,,,BEN,0.254,0.254,0.258,0.258,,BEN,0.254,0.254,0.278,0.278,,,,AUT,0.645,0.619,0.305,0.305,,AUT,0.542,0.542,0.664,0.664
