Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Afghanistan,AFG,24.78793,..,..,..,..,..,31.9738,32.20814,33.2407,33.50124,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Albania,ALB,..,16.43434,15.24414,14.89293,14.75715,14.29575,13.50589,12.22137,11.60265,11.19927,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Algeria,DZA,17.9128,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,American Samoa,ASM,15.48198,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Andorra,AND,..,..,..,..,7.80663,8.65531,8.07904,7.94434,8.22711,8.01599,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Angola,AGO,..,18.83404,27.41665,..,..,..,..,26.76619,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Antigua and Barbuda,ATG,..,13.39086,11.96742,11.59474,..,11.98368,11.48074,..,9.64207,9.29704,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Argentina,ARG,..,12.30048,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,8.01689,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Aruba,ABW,..,15.25432,13.97348,15.09369,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Austria,AUT,9.96332,..,9.67872,9.53847,9.67333,9.61071,9.57663,9.41777,9.32983,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,7.60984,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"Bahamas, The",BHS,..,..,11.08709,14.44392,12.30538,12.50237,11.79222,11.75808,14.06865,12.48097,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Bahrain,BHR,15.34045,..,10.38663,9.61612,9.99168,9.85905,9.86281,9.79181,10.1467,10.23948,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Bangladesh,BGD,27.43812,38.4303,30.62493,32.23697,35.20296,..,..,36.192,33.98251,35.09524,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Barbados,BRB,19.61111,17.29712,..,..,..,..,17.53754,18.63678,18.45852,17.93859,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Belarus,BLR,..,..,..,..,7.73805,8.05511,8.36258,8.29763,8.35604,8.56276,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Belgium,BEL,7.31765,..,..,..,9.44806,9.42359,9.42496,9.14736,8.98821,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Belize,BLZ,..,23.32831,16.31748,16.52241,17.38091,..,16.30319,18.40628,16.5581,16.72317,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Benin,BEN,..,23.38345,..,..,9.82354,9.91567,10.32268,10.99168,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Bermuda,BMU,..,..,6.44776,6.39032,5.31847,4.97932,6.33229,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Bhutan,BTN,..,..,20.53927,19.88922,13.7798,14.29917,12.14578,11.41873,11.0089,10.81456,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Bolivia,BOL,..,..,..,..,20.81323,20.41025,20.39699,19.609,18.90098,18.49627,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,11.12966,10.64639,10.14673,9.73102,9.34286,9.1229,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Botswana,BWA,16.62191,16.40179,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Brazil,BRA,..,..,16.34985,15.97387,17.26308,16.69174,16.45139,16.60114,16.72391,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,British Virgin Islands,VGB,11.8913,10.22297,8.04603,..,..,7.70155,8.0757,7.45055,8.70656,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Brunei Darussalam,BRN,..,10.85358,9.93749,10.09168,9.75452,9.14518,8.83654,8.56453,8.71672,8.26843,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Bulgaria,BGR,..,11.85532,12.29774,12.32203,13.04041,13.2295,..,12.63651,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Burkina Faso,BFA,..,..,26.48814,26.33301,26.90824,27.08945,25.19571,23.38275,23.33086,23.11995,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Burundi,BDI,17.7399,..,29.38317,29.70914,31.66009,37.21738,35.79281,32.13206,28.02967,26.59842,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Cabo Verde,CPV,..,..,17.21693,16.7948,17.19012,16.04694,16.40755,16.00499,15.62939,15.42052,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Cambodia,KHM,..,18.46332,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Cameroon,CMR,25.87655,23.61911,24.12545,21.43342,19.57763,20.4254,19.86712,19.25706,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Canada,CAN,14.21436,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Cayman Islands,CYM,..,9.29365,8.94215,5.27476,..,..,..,..,..,10.9653,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Central African Republic,CAF,37.31739,..,66.81707,68.13149,..,..,..,34.62948,31.63737,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Chad,TCD,..,32.22277,31.98235,29.7734,35.77055,36.61245,27.45229,27.13412,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Chile,CHL,..,29.3532,21.0574,20.04352,21.00122,20.06238,19.44185,18.81748,18.36688,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,China,CHN,14.60696,17.10846,15.15325,14.50326,15.14167,14.27963,13.81544,13.49871,13.30917,13.25879,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Colombia,COL,..,19.19542,25.58137,25.39509,25.49841,24.90129,26.47999,26.18799,26.01138,25.91073,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Comoros,COM,..,..,..,..,8.70555,8.61767,..,..,5.31356,8.30834,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"Congo, Dem. Rep.",COD,..,..,15.21755,15.33509,14.20295,14.59321,14.24161,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"Congo, Rep.",COG,27.12057,..,..,18.67603,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Costa Rica,CRI,18.95094,18.84161,14.92131,..,13.96964,14.35946,13.9521,12.73154,13.31491,12.42779,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,22.30057,..,25.83658,26.31551,27.28114,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Croatia,HRV,..,11.84402,8.001,7.80615,7.70094,8.0174,7.03333,6.73221,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Cuba,CUB,9.88503,11.94651,9.03415,8.42905,8.30605,8.88073,9.03784,9.34814,9.47531,9.63133,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Cyprus,CYP,11.97202,13.60329,9.72688,9.66547,9.54664,9.72049,10.35338,7.95871,8.31131,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Czech Republic,CZE,13.33034,..,11.32691,11.19134,11.54847,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Denmark,DNK,..,9.5577,..,..,..,11.29034,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Djibouti,DJI,27.90244,..,27.89546,26.55834,25.13412,24.54023,22.77297,23.75349,22.727,25.41709,26.83286,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Dominica,DMA,..,21.4711,12.16262,..,..,10.97481,10.69423,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Dominican Republic,DOM,..,..,28.72223,29.17577,27.63296,..,22.09344,..,18.64652,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Ecuador,ECU,..,13.57916,20.90102,21.96425,23.0055,23.03294,22.35071,21.94529,20.99927,20.62112,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"Egypt, Arab Rep.",EGY,21.30897,16.94733,..,..,..,..,..,14.79149,15.21374,15.16281,..,..
