GPS_CODE,GPS variables,LOCATION,Country,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
D011,"Class size, lower secondary education",AUS,Australia,2012,2012,PER,Persons,1,Tens,,,24,,
D011,"Class size, lower secondary education",AUT,Austria,2012,2012,PER,Persons,1,Tens,,,21,,
D011,"Class size, lower secondary education",BEL,Belgium,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",CAN,Canada,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",CZE,Czech Republic,2012,2012,PER,Persons,1,Tens,,,21,,
D011,"Class size, lower secondary education",DNK,Denmark,2012,2012,PER,Persons,1,Tens,,,21,,
D011,"Class size, lower secondary education",FIN,Finland,2012,2012,PER,Persons,1,Tens,,,20,,
D011,"Class size, lower secondary education",FRA,France,2012,2012,PER,Persons,1,Tens,,,25,,
D011,"Class size, lower secondary education",DEU,Germany,2012,2012,PER,Persons,1,Tens,,,24,,
D011,"Class size, lower secondary education",GRC,Greece,2012,2012,PER,Persons,1,Tens,,,22,,
D011,"Class size, lower secondary education",HUN,Hungary,2012,2012,PER,Persons,1,Tens,,,21,,
D011,"Class size, lower secondary education",ISL,Iceland,2012,2012,PER,Persons,1,Tens,,,20,f,This value has a note in the original table
D011,"Class size, lower secondary education",IRL,Ireland,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",ITA,Italy,2012,2012,PER,Persons,1,Tens,,,22,,
D011,"Class size, lower secondary education",JPN,Japan,2012,2012,PER,Persons,1,Tens,,,33,,
D011,"Class size, lower secondary education",KOR,Korea,2012,2012,PER,Persons,1,Tens,,,33,,
D011,"Class size, lower secondary education",LUX,Luxembourg,2012,2012,PER,Persons,1,Tens,,,19,,
D011,"Class size, lower secondary education",MEX,Mexico,2012,2012,PER,Persons,1,Tens,,,27,,
D011,"Class size, lower secondary education",NLD,Netherlands,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",NZL,New Zealand,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",NOR,Norway,2012,2012,PER,Persons,1,Tens,,,,a,Not applicable
D011,"Class size, lower secondary education",POL,Poland,2012,2012,PER,Persons,1,Tens,,,22,,
D011,"Class size, lower secondary education",PRT,Portugal,2012,2012,PER,Persons,1,Tens,,,22,,
D011,"Class size, lower secondary education",SVK,Slovak Republic,2012,2012,PER,Persons,1,Tens,,,20,,
D011,"Class size, lower secondary education",ESP,Spain,2012,2012,PER,Persons,1,Tens,,,24,,
D011,"Class size, lower secondary education",SWE,Sweden,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",CHE,Switzerland,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",TUR,Turkey,2012,2012,PER,Persons,1,Tens,,,28,,
D011,"Class size, lower secondary education",GBR,United Kingdom,2012,2012,PER,Persons,1,Tens,,,19,,
D011,"Class size, lower secondary education",USA,United States,2012,2012,PER,Persons,1,Tens,,,27,,
D011,"Class size, lower secondary education",ARG,Argentina,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",BRA,Brazil,2012,2012,PER,Persons,1,Tens,,,28,,
D011,"Class size, lower secondary education",CHL,Chile,2012,2012,PER,Persons,1,Tens,,,31,,
D011,"Class size, lower secondary education",CHN,China (People's Republic of),2012,2012,PER,Persons,1,Tens,,,52,,
D011,"Class size, lower secondary education",COL,Colombia,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",EST,Estonia,2012,2012,PER,Persons,1,Tens,,,16,,
D011,"Class size, lower secondary education",IND,India,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",IDN,Indonesia,2012,2012,PER,Persons,1,Tens,,,34,,
D011,"Class size, lower secondary education",ISR,Israel,2012,2012,PER,Persons,1,Tens,,,28,,
D011,"Class size, lower secondary education",LVA,Latvia,2012,2012,PER,Persons,1,Tens,,,15,,
D011,"Class size, lower secondary education",RUS,Russia,2012,2012,PER,Persons,1,Tens,,,18,,
D011,"Class size, lower secondary education",SAU,Saudi Arabia,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",SVN,Slovenia,2012,2012,PER,Persons,1,Tens,,,20,,
D011,"Class size, lower secondary education",ZAF,South Africa,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D011,"Class size, lower secondary education",OAVG,OECD - Average,2012,2012,PER,Persons,1,Tens,,,24,,
D012,"Class size, primary education",AUS,Australia,2012,2012,PER,Persons,1,Tens,,,24,,
D012,"Class size, primary education",AUT,Austria,2012,2012,PER,Persons,1,Tens,,,18,,
D012,"Class size, primary education",BEL,Belgium,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D012,"Class size, primary education",CAN,Canada,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D012,"Class size, primary education",CZE,Czech Republic,2012,2012,PER,Persons,1,Tens,,,20,,
D012,"Class size, primary education",DNK,Denmark,2012,2012,PER,Persons,1,Tens,,,21,,
D012,"Class size, primary education",FIN,Finland,2012,2012,PER,Persons,1,Tens,,,19,,
D012,"Class size, primary education",FRA,France,2012,2012,PER,Persons,1,Tens,,,23,,
D012,"Class size, primary education",DEU,Germany,2012,2012,PER,Persons,1,Tens,,,21,,
D012,"Class size, primary education",GRC,Greece,2012,2012,PER,Persons,1,Tens,,,17,,
D012,"Class size, primary education",HUN,Hungary,2012,2012,PER,Persons,1,Tens,,,21,,
D012,"Class size, primary education",ISL,Iceland,2012,2012,PER,Persons,1,Tens,,,19,f,This value has a note in the original table
D012,"Class size, primary education",IRL,Ireland,2012,2012,PER,Persons,1,Tens,,,24,,
D012,"Class size, primary education",ITA,Italy,2012,2012,PER,Persons,1,Tens,,,19,,
D012,"Class size, primary education",JPN,Japan,2012,2012,PER,Persons,1,Tens,,,28,,
